Session	Date	Start Time	End Time	Location	Track	Presentation Order	Session Title	Session ID on Underline	PID-old	PID	Title	Author	Length	Category	Oral(pref)
Session 7	2024-03-19	14:00	14:15	Carlson (176)	Question Answering	1	Question Answering		28-Oral	28-Oral	Few-Shot Data Synthesis for Open Domain Multi-Hop Question Answering	Mingda Chen, Xilun Chen, Wen-tau Yih	Long 12/2.5/.5	Oral	In Person
Session 7	2024-03-19	14:15	14:30	Carlson (176)	Question Answering	2	Question Answering		269-Oral	269-Oral	CATfOOD: Counterfactual Augmented Training for Improving Out-of-Domain Performance and Calibration	Rachneet Singh Sachdeva, Martin Tutek, Iryna Gurevych	Long 12/2.5/.5	Oral	In Person
Session 7	2024-03-19	14:30	14:45	Carlson (176)	Question Answering	3	Question Answering		323-Oral	323-Oral	Think Twice: Measuring the Efficiency of Eliminating Prediction Shortcuts of Question Answering Models	Lukáš Mikula, Michal Štefánik, Marek Petrovič, Petr Sojka	Long 12/2.5/.5	Oral	In Person
Session 7	2024-03-19	14:45	15:00	Carlson (176)	Question Answering	4	Question Answering		343-Oral	343-Oral	Defending Against Disinformation Attacks in Open-Domain Question Answering	Orion Weller, Aleem Khan, Nathaniel Weir, Dawn Lawrie, Benjamin Van Durme	Long 12/2.5/.5	Oral	In Person
Session 7	2024-03-19	15:00	15:15	Carlson (176)	Question Answering	5	Question Answering		388-Oral	388-Oral	Graph Guided Question Answer Generation for Procedural Question-Answering	Hai X. Pham, Isma Hadji, Xinnuo Xu, Ziedune Degutyte, Jay Rainey, Evangelos Kazakos, Afsaneh Fazly, Georgios Tzimiropoulos, Brais Martinez	Long 12/2.5/.5	Oral	In Person
Session 7	2024-03-19	15:15	15:30	Carlson (176)	Question Answering	6	Question Answering		432-Oral	432-Oral	Pre-Training Methods for Question Reranking	Stefano Campese, Ivano Lauriola, Alessandro Moschitti	Long 12/2.5/.5	Oral	In Person
Session 7	2024-03-19	14:00	14:15	Marie Louise 1 (90)	Multilinguality and Language Diversity 1	1	Multilinguality and Language Diversity 1		44-Oral	44-Oral	Multilingual Gradient Word-Order Typology from Universal Dependencies	Emi Baylor, Esther Ploeger, Johannes Bjerva	Long 12/2.5/.5	Oral	In Person
Session 7	2024-03-19	14:15	14:30	Marie Louise 1 (90)	Resources and Evaluation	2	Multilinguality and Language Diversity 1		31-Oral	31-Oral	SIB-200: A Simple, Inclusive, and Big Evaluation Dataset for Topic Classification in 200+ Languages and Dialects	David Ifeoluwa Adelani, Hannah Liu, Xiaoyu Shen, Nikita Vassilyev, Jesujoba Oluwadara Alabi, Yanke Mao, Haonan Gao, En-Shiun Annie Lee	Long 12/2.5/.5	Oral	In Person
Session 7	2024-03-19	14:30	14:45	Marie Louise 1 (90)	Resources and Evaluation	3	Multilinguality and Language Diversity 1		146-Oral	146-Oral	Meme-ingful Analysis: Enhanced Understanding of Cyberbullying in Memes Through Multimodal Explanations	Prince Jha, Krishanu Maity, Raghav Jain, Apoorv Verma, Sriparna Saha, Pushpak Bhattacharyya	Long 12/2.5/.5	Oral	Virtual 
Session 7	2024-03-19	14:45	15:00	Marie Louise 1 (90)	Resources and Evaluation	4	Multilinguality and Language Diversity 1		206-Oral	206-Oral	M4: Multi-generator, Multi-domain, and Multi-lingual Black-Box Machine-Generated Text Detection	Yuxia Wang, Jonibek Mansurov, Petar Ivanov, Jinyan Su, Artem Shelmanov, Akim Tsvigun, Chenxi Whitehouse, OSAMA MOHAMMED AFZAL, Tarek Mahmoud, Toru Sasaki, Thomas Arnold, Alham Fikri Aji, Nizar Habash, Iryna Gurevych, Preslav Nakov	Long 12/2.5/.5	Oral	In Person
